Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
sample1,Mitochondrion,,0.2897000014781952,0.3431999981403351,0.40400001406669617,0.17110000550746918,0.574400007724762,0.08449999988079071,0.04729999974370003,0.04019999876618385,0.06289999932050705,0.3785000145435333
sample2,Mitochondrion,,0.30979999899864197,0.3278000056743622,0.5483999848365784,0.09589999914169312,0.7026000022888184,0.08169999718666077,0.010599999688565731,0.039900001138448715,0.026100000366568565,0.30720001459121704
sample3,Cytoplasm|Extracellular,,0.5001000165939331,0.42289999127388,0.6478999853134155,0.13210000097751617,0.5275999903678894,0.024900000542402267,0.007799999788403511,0.012500000186264515,0.01889999955892563,0.0869000032544136
sample4,Mitochondrion,Mitochondrial transit peptide,0.3686999976634979,0.37950000166893005,0.35030001401901245,0.07599999755620956,0.9297999739646912,0.0032999999821186066,0.04360000044107437,0.013399999588727951,0.02889999933540821,0.015799999237060547
sample5,Mitochondrion,,0.3822999894618988,0.4424999952316284,0.21080000698566437,0.1843000054359436,0.5367000102996826,0.0917000025510788,0.03889999911189079,0.0575999990105629,0.0364999994635582,0.23119999468326569
sample6,Mitochondrion,,0.3756999969482422,0.3059000074863434,0.602400004863739,0.13439999520778656,0.7648000121116638,0.06350000202655792,0.025699999183416367,0.026499999687075615,0.06069999933242798,0.4269999861717224
sample7,Extracellular|Mitochondrion,,0.3628999888896942,0.4300000071525574,0.6642000079154968,0.12520000338554382,0.6888999938964844,0.0658000037074089,0.023600000888109207,0.043800000101327896,0.06750000268220901,0.17090000212192535
sample8,Extracellular,,0.41679999232292175,0.24639999866485596,0.5613999962806702,0.3422999978065491,0.38510000705718994,0.06379999965429306,0.012600000016391277,0.014299999922513962,0.02800000086426735,0.09600000083446503
sample9,Nucleus|Mitochondrion,,0.21819999814033508,0.6207000017166138,0.5424000024795532,0.09130000323057175,0.7182999849319458,0.012199999764561653,0.007699999958276749,0.021900000050663948,0.029500000178813934,0.027000000700354576
sample10,Extracellular|Mitochondrion,,0.42719998955726624,0.26759999990463257,0.7177000045776367,0.0940999984741211,0.8324999809265137,0.003599999938160181,0.14579999446868896,0.10909999907016754,0.11909999698400497,0.17520000040531158
sample11,Extracellular|Mitochondrion,,0.34880000352859497,0.3783999979496002,0.6625000238418579,0.16410000622272491,0.7562000155448914,0.022099999710917473,0.03280000016093254,0.04470000043511391,0.11550000309944153,0.5480999946594238
sample12,Extracellular,,0.30300000309944153,0.21140000224113464,0.6510999798774719,0.28780001401901245,0.40619999170303345,0.054999999701976776,0.01640000008046627,0.06549999862909317,0.10050000250339508,0.29339998960494995
sample13,Extracellular,,0.3596999943256378,0.13680000603199005,0.4952000081539154,0.23250000178813934,0.4925000071525574,0.0471000000834465,0.040300000458955765,0.037300001829862595,0.14589999616146088,0.09700000286102295
sample14,Mitochondrion,,0.4544999897480011,0.3840999901294708,0.25699999928474426,0.25429999828338623,0.6421999931335449,0.023000000044703484,0.05999999865889549,0.017999999225139618,0.040300000458955765,0.05999999865889549
sample15,Cytoplasm|Extracellular|Mitochondrion,,0.4767000079154968,0.26179999113082886,0.6265000104904175,0.27320000529289246,0.6460000276565552,0.10440000146627426,0.013899999670684338,0.03869999945163727,0.10729999840259552,0.06949999928474426
sample16,Extracellular,,0.46000000834465027,0.22660000622272491,0.5364999771118164,0.13500000536441803,0.48260000348091125,0.04470000043511391,0.04690000042319298,0.04780000075697899,0.08349999785423279,0.30660000443458557
sample17,Extracellular,,0.27219998836517334,0.17440000176429749,0.7214999794960022,0.3935999870300293,0.48980000615119934,0.061000000685453415,0.009200000204145908,0.04859999939799309,0.05979999899864197,0.12409999966621399
sample18,Extracellular,,0.4108000099658966,0.2750000059604645,0.5641999840736389,0.2930000126361847,0.32010000944137573,0.09459999948740005,0.0038999998942017555,0.02449999935925007,0.03819999843835831,0.29829999804496765
sample19,Extracellular|Mitochondrion,,0.35839998722076416,0.32839998602867126,0.6398000121116638,0.12280000001192093,0.7573999762535095,0.023800000548362732,0.060100000351667404,0.023099999874830246,0.037700001150369644,0.027300000190734863
sample20,Mitochondrion,,0.33320000767707825,0.3077999949455261,0.4950000047683716,0.26019999384880066,0.5866000056266785,0.02280000038444996,0.027899999171495438,0.011699999682605267,0.026399999856948853,0.31130000948905945
sample21,Mitochondrion,,0.37119999527931213,0.35409998893737793,0.44510000944137573,0.1331000030040741,0.5964999794960022,0.02019999921321869,0.021299999207258224,0.0333000011742115,0.02889999933540821,0.07509999722242355
sample22,Mitochondrion,,0.44359999895095825,0.3034000098705292,0.5430999994277954,0.08640000224113464,0.6672999858856201,0.05290000140666962,0.018200000748038292,0.01759999990463257,0.02969999983906746,0.10849999636411667
sample23,Extracellular,,0.267300009727478,0.15770000219345093,0.529699981212616,0.14659999310970306,0.45649999380111694,0.0843999981880188,0.0812000036239624,0.10159999877214432,0.09040000289678574,0.0617000013589859
sample24,Extracellular,,0.29019999504089355,0.4049000144004822,0.6514000296592712,0.21940000355243683,0.5794000029563904,0.02590000070631504,0.027000000700354576,0.02160000056028366,0.06159999966621399,0.12439999729394913
sample25,Extracellular,Peroxisomal targeting signal,0.3993000090122223,0.20389999449253082,0.6826000213623047,0.25870001316070557,0.3968999981880188,0.08309999853372574,0.003100000089034438,0.030300000682473183,0.06300000101327896,0.30149999260902405
sample26,Cytoplasm|Mitochondrion,,0.5296000242233276,0.3869999945163727,0.41940000653266907,0.07079999893903732,0.7641000151634216,0.007300000172108412,0.026599999517202377,0.024000000208616257,0.03189999982714653,0.06400000303983688
sample27,Mitochondrion,,0.4456999897956848,0.3801000118255615,0.37459999322891235,0.2143000066280365,0.629800021648407,0.04540000110864639,0.15950000286102295,0.02630000002682209,0.23489999771118164,0.01119999960064888
sample28,Mitochondrion,,0.43650001287460327,0.20319999754428864,0.34850001335144043,0.15569999814033508,0.527400016784668,0.008200000040233135,0.006500000134110451,0.02810000069439411,0.08780000358819962,0.17970000207424164
sample29,Mitochondrion,,0.45010000467300415,0.33320000767707825,0.33550000190734863,0.16329999268054962,0.5468999743461609,0.07850000262260437,0.013399999588727951,0.009600000455975533,0.013299999758601189,0.22509999573230743
sample30,Cytoplasm|Extracellular,,0.4794999957084656,0.3564000129699707,0.6248000264167786,0.1193000003695488,0.5012999773025513,0.0722000002861023,0.014399999752640724,0.023600000888109207,0.044599998742341995,0.1412000060081482
sample31,Extracellular,Peroxisomal targeting signal,0.35350000858306885,0.32350000739097595,0.6690999865531921,0.06729999929666519,0.5040000081062317,0.1396999955177307,0.013799999840557575,0.05310000106692314,0.05909999832510948,0.3562000095844269
sample32,Mitochondrion,,0.3937000036239624,0.44190001487731934,0.376800000667572,0.14399999380111694,0.6503000259399414,0.022199999541044235,0.03660000115633011,0.009100000374019146,0.08900000154972076,0.11110000312328339
sample33,Extracellular,,0.44200000166893005,0.2653999924659729,0.5310999751091003,0.2353000044822693,0.4311999976634979,0.0778999999165535,0.014800000004470348,0.02410000003874302,0.04529999941587448,0.07530000060796738
sample34,Extracellular|Mitochondrion,,0.30640000104904175,0.26600000262260437,0.7358999848365784,0.1136000007390976,0.6891000270843506,0.07760000228881836,0.00559999980032444,0.014999999664723873,0.03530000150203705,0.23579999804496765
sample35,Extracellular|Mitochondrion,,0.39070001244544983,0.37630000710487366,0.6439999938011169,0.14820000529289246,0.7803000211715698,0.032099999487400055,0.023900000378489494,0.03229999914765358,0.050599999725818634,0.3880999982357025
sample36,Mitochondrion,,0.29120001196861267,0.3059000074863434,0.5248000025749207,0.24040000140666962,0.5781000256538391,0.057999998331069946,0.04190000146627426,0.04019999876618385,0.08820000290870667,0.3750999867916107
sample37,Mitochondrion,,0.39899998903274536,0.24609999358654022,0.5730999708175659,0.218299999833107,0.5866000056266785,0.02889999933540821,0.018300000578165054,0.0430000014603138,0.09210000187158585,0.33820000290870667
sample38,Mitochondrion,,0.19189999997615814,0.2635999917984009,0.29120001196861267,0.21580000221729279,0.570900022983551,0.14489999413490295,0.2524000108242035,0.16249999403953552,0.16500000655651093,0.24400000274181366
sample39,Extracellular,,0.4332999885082245,0.4025000035762787,0.5105999708175659,0.1298000067472458,0.5040000081062317,0.02370000071823597,0.008200000040233135,0.014800000004470348,0.012199999764561653,0.08389999717473984
sample40,Mitochondrion,,0.34459999203681946,0.30390000343322754,0.40389999747276306,0.1348000019788742,0.6744999885559082,0.026399999856948853,0.016699999570846558,0.022099999710917473,0.025499999523162842,0.049300000071525574
sample41,Mitochondrion,,0.3939000070095062,0.1581999957561493,0.19689999520778656,0.1177000030875206,0.7846999764442444,0.04520000144839287,0.01679999940097332,0.017100000753998756,0.021400000900030136,0.26660001277923584
sample42,Extracellular,,0.3025999963283539,0.41440001130104065,0.850600004196167,0.25369998812675476,0.5494999885559082,0.03150000050663948,0.01600000075995922,0.01679999940097332,0.07649999856948853,0.36320000886917114
sample43,Mitochondrion,,0.34940001368522644,0.2524999976158142,0.4163999855518341,0.20499999821186066,0.7542999982833862,0.017100000753998756,0.010099999606609344,0.06319999694824219,0.05270000174641609,0.19660000503063202
sample44,Extracellular,,0.3955000042915344,0.39410001039505005,0.6832000017166138,0.18690000474452972,0.5327000021934509,0.03709999844431877,0.010400000028312206,0.03269999846816063,0.06880000233650208,0.12160000205039978
sample45,Cytoplasm,,0.6639000177383423,0.24629999697208405,0.357699990272522,0.18960000574588776,0.5260999798774719,0.04349999874830246,0.01679999940097332,0.008200000040233135,0.025200000032782555,0.2442999929189682
sample46,Nucleus,,0.34369999170303345,0.5364999771118164,0.2337999939918518,0.22450000047683716,0.5371999740600586,0.004999999888241291,0.026499999687075615,0.024700000882148743,0.041600000113248825,0.05339999869465828
sample47,Mitochondrion,,0.3172000050544739,0.32089999318122864,0.47699999809265137,0.1379999965429306,0.48089998960494995,0.025100000202655792,0.051100000739097595,0.03099999949336052,0.06260000169277191,0.09619999676942825
sample48,Mitochondrion,,0.3531999886035919,0.2937999963760376,0.3330000042915344,0.193900004029274,0.6746000051498413,0.04600000008940697,0.045899998396635056,0.025100000202655792,0.07890000194311142,0.32839998602867126
sample49,Mitochondrion,,0.4115999937057495,0.28369998931884766,0.46399998664855957,0.17470000684261322,0.5498999953269958,0.04430000111460686,0.010099999606609344,0.01600000075995922,0.022600000724196434,0.03799999877810478
sample50,Mitochondrion,,0.13809999823570251,0.3109999895095825,0.366100013256073,0.12680000066757202,0.5871000289916992,0.055399999022483826,0.09549999982118607,0.03830000013113022,0.06930000334978104,0.2054000049829483
