Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
sample1_GFP_fused,Mitochondrion,Mitochondrial transit peptide,0.18799999356269836,0.09430000185966492,0.16769999265670776,0.16410000622272491,0.8898000121116638,0.01119999960064888,0.027799999341368675,0.07859999686479568,0.05510000139474869,0.031199999153614044
sample2_GFP_fused,Cytoplasm|Extracellular,,0.486299991607666,0.4410000145435333,0.9354000091552734,0.09430000185966492,0.2702000141143799,0.06669999659061432,0.0406000018119812,0.10909999907016754,0.06849999725818634,0.03720000013709068
sample3_GFP_fused,Mitochondrion,Mitochondrial transit peptide,0.23659999668598175,0.16760000586509705,0.2784999907016754,0.12160000205039978,0.8751999735832214,0.008100000210106373,0.04320000112056732,0.10899999737739563,0.06589999794960022,0.1843000054359436
sample4_GFP_fused,Cytoplasm,,0.6815999746322632,0.38339999318122864,0.5029000043869019,0.3382999897003174,0.4796999990940094,0.07280000299215317,0.27300000190734863,0.17900000512599945,0.19820000231266022,0.010700000450015068
sample5_GFP_fused,Mitochondrion,Mitochondrial transit peptide,0.20229999721050262,0.1145000010728836,0.12720000743865967,0.09950000047683716,0.9057000279426575,0.011599999852478504,0.025699999183416367,0.08730000257492065,0.05169999971985817,0.00989999994635582
sample6_GFP_fused,Mitochondrion,Mitochondrial transit peptide,0.16259999573230743,0.12610000371932983,0.26980000734329224,0.19779999554157257,0.720300018787384,0.04410000145435333,0.025299999862909317,0.06870000064373016,0.06199999898672104,0.08540000021457672
sample7_GFP_fused,Mitochondrion,Mitochondrial transit peptide,0.18250000476837158,0.14900000393390656,0.2996000051498413,0.125900000333786,0.8752999901771545,0.0066999997943639755,0.05700000002980232,0.1492999941110611,0.11599999666213989,0.08910000324249268
sample8_GFP_fused,Mitochondrion,Mitochondrial transit peptide,0.2500999867916107,0.11969999969005585,0.4154999852180481,0.125900000333786,0.7505000233650208,0.027799999341368675,0.01640000008046627,0.08969999849796295,0.07919999957084656,0.08560000360012054
sample9_GFP_fused,Mitochondrion,Mitochondrial transit peptide,0.20389999449253082,0.14020000398159027,0.2484000027179718,0.14319999516010284,0.7710000276565552,0.03440000116825104,0.05209999904036522,0.12770000100135803,0.048900000751018524,0.19169999659061432
sample10_GFP_fused,Mitochondrion,Mitochondrial transit peptide,0.2653000056743622,0.147599995136261,0.10840000212192535,0.08470000326633453,0.8586000204086304,0.05180000141263008,0.04340000078082085,0.07620000094175339,0.08190000057220459,0.04190000146627426
